LSID	URI	Title	Year	Date Published	Citation	ContainedIn	Edition	ShortTitle	Publisher
urn:lsid:biodiversity.org.au:apni.publication:180667	http://biodiversity.org.au/apni.publication/180667	Bulletin Scientifique de la France et de la Belgique. 1896.		1896	Bulletin Scientifique de la France et de la Belgique. 1896.				
urn:lsid:biodiversity.org.au:apni.publication:181142	http://biodiversity.org.au/apni.publication/181142	Rice, R., Oasis, the journal. 1999-.		1999-	Rice, R., Oasis, the journal. 1999-.				S. Hampton Print Solutions
urn:lsid:biodiversity.org.au:apni.publication:181143	http://biodiversity.org.au/apni.publication/181143	Rice, R., Oasis, the journal. Supplement. 2001-.		2001-	Rice, R., Oasis, the journal. Supplement. 2001-.				S. Hampton Print Solutions
urn:lsid:biodiversity.org.au:apni.publication:181144	http://biodiversity.org.au/apni.publication/181144	Chalk, D., Hebes and Parahebes. 1988.		1988	Chalk, D., Hebes and Parahebes. 1988.				Caxton Press
urn:lsid:biodiversity.org.au:apni.publication:181145	http://biodiversity.org.au/apni.publication/181145	Nees von Esenbeck, C.G.D., Naturgeschichte der Europaischen Lebermoose. 1833-1838.		1833-1838	Nees von Esenbeck, C.G.D., Naturgeschichte der Europaischen Lebermoose. 1833-1838.				
urn:lsid:biodiversity.org.au:apni.publication:181146	http://biodiversity.org.au/apni.publication/181146	Vorlesungen der Churpfalzischen physicalisch-oconomischen Gesellschaft. 1786-1791.		1786-1791	Vorlesungen der Churpfalzischen physicalisch-oconomischen Gesellschaft. 1786-1791.				
urn:lsid:biodiversity.org.au:apni.publication:181147	http://biodiversity.org.au/apni.publication/181147	Aiton, W.T., Hortus Kewensis. 1810-1813.		1810-1813	Aiton, W.T., Hortus Kewensis. 1810-1813.				Longma, Hurst, Rees, Orme and Brown
urn:lsid:biodiversity.org.au:apni.publication:181148	http://biodiversity.org.au/apni.publication/181148	Battandier, J.A., Flore de l'Algerie. 1888-1897.		1888-1897	Battandier, J.A., Flore de l'Algerie. 1888-1897.				F. Savy
urn:lsid:biodiversity.org.au:apni.publication:181149	http://biodiversity.org.au/apni.publication/181149	Backer, C.A. & Slooten, D.F. van, Geillustreed handboek der Javaansche theeonkruiden. 1924.		1924	Backer, C.A. & Slooten, D.F. van, Geillustreed handboek der Javaansche theeonkruiden. 1924.				Ruygrock & Co.
urn:lsid:biodiversity.org.au:apni.publication:181151	http://biodiversity.org.au/apni.publication/181151	Butlleti de la institucio catalana d'historia natural.  Seccio de botanica. 1974-.		1974-	Butlleti de la institucio catalana d'historia natural.  Seccio de botanica. 1974-.				
urn:lsid:biodiversity.org.au:apni.publication:181152	http://biodiversity.org.au/apni.publication/181152	Dostal, J., Kvetena Ceske Socialisticke Republicky. 1948-1950.		1948-1950	Dostal, J., Kvetena Ceske Socialisticke Republicky. 1948-1950.				
urn:lsid:biodiversity.org.au:apni.publication:181153	http://biodiversity.org.au/apni.publication/181153	Grisebach, A.H.R., Symbolae ad floram Argentinam. 1879.		1879	Grisebach, A.H.R., Symbolae ad floram Argentinam. 1879.				Deiterich
